category,subcategory,subsubcategory,name,description,price,reference_price,reference_unit,date
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de Pollo Entera Carrefour 1.1 kg aprox,1.1 kg,5.49,4.99,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Traseros de Pollo Carrefour 1.5 kg aprox,1.5 kg,4.03,2.69,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Traseros de Pollo Carrefour 1 kg aprox,1 kg,2.69,2.69,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Alas de pollo Carrefour 1 kg aprox,1 kg,3.59,3.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Jamoncitos de pollo Carrefour 600 g aprox,600 g,2.15,3.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Chuletas de Pavo Marinadas al Ajillo Carrefour 450 g aprox,450 g,3.04,6.75,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pavo fileteada Carrefour 600 g aprox,600 g,5.01,8.35,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Filetes de Pechuga Marinada de Pollo Carrefour 450 g aprox,450 g,3.33,7.39,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Solomillo de pavo 750 g aprox,750 g,5.99,7.99,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechugas de pavo marinadas al pimentón Carrefour 500 g aprox,500 g,4.84,9.69,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Jamoncitos de pollo Carrefour 850 g aprox,850 g,3.05,3.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Contras de pollo con piel Carrefour 800 g aprox,800 g,3.03,3.79,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Chuleta de pavo Carrefour 500 g aprox,500 g,3.39,6.79,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pollo fileteada Carrefour 500 g aprox,500 g,3.79,7.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pollo entero en trozos Carrefour 2 kg aprox,2 kg,6.98,3.49,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Alas de Pollo Carrefour 1.4 kg aprox,1.4 kg,5.03,3.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pollo corte extrafino Roler 320 g,320 g,4.99,4.99,ud,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Constramuslo de pavo fileteado Carrefour 600 g aprox,600 g,4.97,8.29,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Carne de pavo para estofado Carrefour 600 g aprox,600 g,4.55,7.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pollo fileteada marinada a las finas hierbas Coren 400 g aprox,400 g,2.96,7.39,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pavo fileteada Carrefour 500 g aprox,500 g,4.94,9.89,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Carcasa de pollo Carrefour 800 g aprox,800 g,0.95,1.19,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Media gallina Nutrave 700 g aprox,700 g,3.43,4.9,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Filetes de Pechuga de Pavo Marinado Carrefour El Mercado 500 g aprox,500 g,4.94,9.89,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Solomillo de Pollo Marinado al Ajillo Coren 300 g aprox,300 g,2.97,9.9,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Alas de Pollo Carrefour 500 g aprox,500 g,3.34,6.69,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Estofado de pavo adobado al ajillo Carrefour 500 g aprox,500 g,3.17,6.35,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Chuleta de Pavo Marinada Carrefour El Mercado 500 g aprox,500 g,4.19,8.39,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pollo campero limpio Círculo de Calidad 1.6 kg aprox,1.6 kg,10.7,6.69,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Jamoncito de pavo Carrefour 750 g aprox,750 g,3.44,4.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Codorniz suprema Círculo de Calidad 300 g aprox,300 g,3.57,11.9,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pollo campero fileteada Círculo de Calidad 500 g aprox,500 g,7.44,14.89,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Escalope de Pollo Ecológico Carrefour Bio 220 g,220 g,3.52,15.99,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Carcasas y espinazos de pollo Carrefour El Mercado 500 g aprox,500 g,0.64,1.29,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Traseros de pollo Carrefour El Mercado 1.2 kg aprox,1.2 kg,3.23,2.69,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pechuga de pollo Carrefour El Mercado 500 g aprox,500 g,3.29,6.59,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Jamoncitos de pollo Carrefour El Mercado 1 kg aprox,1 kg,3.79,3.79,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Preparado de carne picada de pollo ecológica Carrefour Bio 320 g,320 g,6.19,19.34,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Pollo entero Carrefour El Mercado 2.5 kg aprox,2.5 kg,8.12,3.25,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Brocheta de Pollo Marinado 400 g aprox,400 g,6.45,12.9,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Patas de pollo Carreofur El Mercado 400 g aprox,400 g,1.62,4.05,kg,2025-04-13
Productos Frescos,Carnicería,Aves y Pollo,Mollejas de pollo Carrefour El Mercado 450 g aprox,450 g,2.36,5.25,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Chuletón de vacuno 600 g aprox,600 g,9.29,15.49,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Hamburguesa de añojo Círculo de Calidad 2x150 g,150 g,4.79,15.97,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Hueso de vacuno Carrefour El Mercado 250 g aprox,250 g,2.69,5.39,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Entrecot de añojo Círculo de Calidad 500 g aprox,500 g,12.2,24.4,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Filete 1ª A de tapa o Contra de añojo Círculo de Calidad 550 g aprox,550 g,11.16,20.3,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Filete 1ª A de Cadera o Babilla de Añojo Círculo de Calidad 550 g aprox,550 g,11.27,20.5,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Carpaccio de vacuno ecológico Carrefour Bio 120 g,120 g,3.85,32.08,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Trozo de vacuno para cocido Carrefour El Mercado 250 g aprox,250 g,7.19,14.39,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Filete 1ªA de Vacuno Carrefour 500 g,500 g,8.49,16.99,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Estofado de Vacuno Carrefour El Mercado 500 g aprox,500 g,7.27,14.55,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Filete 1ª A Vacuno El Mercado 500 g aprox,500 g,8.49,16.99,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Preparado de carne picada de vacuno Círculo de Calidad 400 g,400 g,5.19,12.97,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Costilla de vacuno Carrefour El Mercado 250 g aprox,250 g,7.04,14.09,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Entrecot de Vacuno Carrefour El Mercado 500 g aprox,500 g,7.74,15.49,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Filetes de Lomo Bajo de Añojo Círculo de Calidad 500 g aprox,500 g,11.4,22.8,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Carne de añojo troceada para guisar Círculo de Calidad 600 g aprox,600 g,9.63,16.05,kg,2025-04-13
Productos Frescos,Carnicería,Vacuno,Medallón de Babilla de Vacuno Angus Carrefour Selection 400 g aprox,400 g,8.76,21.9,kg,2025-04-13
