id,supermarket,category,name,description,trademark,trademark_propietary_flag,price,reference_price,reference_unit,insert_date,price_corrected
25869112,mercadona.es,huevos_leche_y_mantequilla|mantequilla_y_margarina,Margarina Flora Original,Tarrina,otras marcas,False,3.45,8.625,kg,2023-03-15,False
25855500,carrefour.es,productos_frescos|platos_preparados|fritos,Nuggets de pechuga de pollo 250 g,,otras marcas,False,3.1,12.4,kg,2023-03-15,False
25867724,mercadona.es,conservas_caldos_y_cremas|berberechos_y_mejillones,Mejillones picantes en escabeche Hacendado pequeños,Lata,hacendado,True,1.65,23.914,kg,2023-03-15,False
25862155,dia.es,despensa|conservas|conservas_vegetales,CARRETILLA espárragos blancos extra 8/12 lata 150 gr,,carretilla,False,3.05,20.33,kg,2023-03-15,False
25861733,dia.es,despensa|desayunos_y_dulces|caramelos_chicles_y_golosinas,DIA ICEBERG chicle sabor sandía sin azúcar bolsa 45 gr,,dia,True,0.99,22.1,kg,2023-03-15,False
25859028,carrefour.es,bebidas|licores_y_cremas|pacharan,Pacharán De Nuestra Tierra 70 cl.,,otras marcas,False,12.38,17.69,l,2023-03-15,False
25867341,mercadona.es,charcuteria_y_quesos|queso_lonchas_rallado_y_en_porciones,Queso rallado emmental gratinar Hacendado,Paquete,hacendado,True,1.73,8.65,kg,2023-03-15,False
25864731,dia.es,cuidado_del_hogar|utensilios_de_limpieza,DIA estropajo salvauñas fibra blanca para baño paquete 2 uds,,dia,False,1.15,0.58,ud,2023-03-15,False
25870689,mercadona.es,zumos|melocoton_y_pina,Zumo de piña selección Hacendado,Brick,hacendado,True,1.95,1.95,l,2023-03-15,False
25862506,dia.es,despensa|salsas|mayonesa_y_otras_salsas,GALLINA BLANCA salsa pimienta verde sobre 50 gr,,gallina blanca,False,1.7,28.81,kg,2023-03-15,False
25858723,carrefour.es,bebidas|alcoholes|brandy_y_conac,Bebida espirituosa Terry Centenario 1 l.,,otras marcas,False,9.35,9.35,l,2023-03-15,False
25866327,mercadona.es,bodega|cerveza,Cerveza reserva 1925 Alhambra,Botellín,otras marcas,False,1.31,3.97,l,2023-03-15,False
25862170,dia.es,despensa|conservas|conservas_vegetales,DESTAPA LA HUERTA pimientos del piquillo rojos y verdes en tiras frasco 270 gr,,destapa la huerta,False,1.85,6.73,kg,2023-03-15,False
25855748,carrefour.es,la_despensa|alimentacion|arroz_y_cous_cous,Arroz redondo Sos 1 kg.,,otras marcas,False,1.8,1.8,kg,2023-03-15,False
25866811,mercadona.es,carne|cerdo,Lomo de cerdo ibérico,Bandeja,otras marcas,False,6.26,21.95,kg,2023-03-15,False
25858606,carrefour.es,bebidas|aguas_y_zumos|zumos_no_refrigerados,Zumo de fruta y leche Carrefour Tropical pack de 6 briks de 20 cl.,,carrefour,True,1.19,0.99,l,2023-03-15,False
25866308,mercadona.es,bodega|cerveza,Cerveza Suave Steinburg,Lata,otras marcas,False,0.29,0.879,l,2023-03-15,False
25860089,carrefour.es,parafarmacia|higiene_bucal|cuidado_y_fijacion_protesis_dentales,"Tabletas limpiadoras para prótesis dentales, férulas dentales y ortodoncias Oxígeno Activo Corega 108 ud.",,otras marcas,False,17.19,0.16,ud,2023-03-15,False
25857123,carrefour.es,la_despensa|panaderia_bolleria_y_pasteleria|masa_fresca_y_bases,Masa para empanadillas y postres Buitoni sin lactosa 160 g.,,otras marcas,False,1.1,6.87,kg,2023-03-15,False
25864926,dia.es,cuidado_del_hogar|lavavajillas,MISTOL lavavajillas mano ultra plus botella 650 ml,,mistol,False,2.49,3.83,l,2023-03-15,False
25864306,dia.es,cuidado_personal|cuidado_bucal,COLGATE cepillo dental 360 º max white medio blíster 1 ud,,colgate,False,4.29,4.29,ud,2023-03-15,False
25858138,carrefour.es,congelados|helados|tarrinas,Helado de chocolate 1 l.,,otras marcas,False,1.65,3.3,kg,2023-03-15,False
25859339,carrefour.es,limpieza_y_hogar|productos_para_toda_la_casa|insecticidas,Insecticida moscas y mosquitos Carrefour 750 ml.,,carrefour,True,2.19,2.92,l,2023-03-15,False
25864606,dia.es,bebe|panales,DIA PLANETA BEBE pañales 8-15 kgs talla 4 paquete 88 uds,,dia,True,14.75,0.17,ud,2023-03-15,False
25870304,mercadona.es,panaderia_y_pasteleria|picos_rosquilletas_y_picatostes,Picos Hacendado,Paquete,hacendado,True,0.85,3.4,kg,2023-03-15,False
25863202,dia.es,bebidas|refrescos,PEPSI zero azúcar sabor lima lata 33 cl,,pepsi,False,0.85,2.58,l,2023-03-15,False
25862904,dia.es,bebidas|aguas,SOLAN DE CABRAS agua mineral natural botella 5 lt,,solan de cabras,False,2.49,0.5,l,2023-03-15,False
25864172,dia.es,cuidado_personal|bano_e_higiene_personal|geles_de_duchas_y_esponjas,NB PALMOLIVE gel de ducha leche y miel bote 550 ml,,nb palmolive,False,3.19,4.91,l,2023-03-15,False
25861995,dia.es,despensa|desayunos_y_dulces|infusiones,HORNIMANS té rojo con anís y un toque de ciruela estuche 20 bolsitas,,hornimans,False,2.95,0.15,ud,2023-03-15,False
25863773,dia.es,congelados|verduras_y_hortalizas,DIA PATATAS UNIDAS patatas gajo bolsa 750 gr,,dia,True,1.99,2.65,kg,2023-03-15,False
25859318,carrefour.es,limpieza_y_hogar|productos_para_toda_la_casa|lejias_y_amoniacos,LEJIA HOGAR CARREFOUR 5LT,,otras marcas,False,1.99,0.4,l,2023-03-15,False
