name,description,price,reference_price,reference_unit,product_id,insert_date,category,subcategory
Patatas gajo Patatas Unidas Dia bolsa 750 g,bolsa,1.8,2.4,KILO,262685,2025-04-08,Freidora de aire - Airfryer,Patatas Airfryer
Patatas finas prefritas Patatas Unidas Dia bolsa 1 Kg,bolsa,1.93,1.93,KILO,262863,2025-04-08,Freidora de aire - Airfryer,Patatas Airfryer
Patatas prefritas Patatas Unidas Dia bolsa 1 Kg,bolsa,1.85,1.85,KILO,262861,2025-04-08,Freidora de aire - Airfryer,Patatas Airfryer
Patatas prefritas Patatas Unidas Dia bolsa 2 Kg,bolsa,3.21,1.61,KILO,280262,2025-04-08,Freidora de aire - Airfryer,Patatas Airfryer
Patatas gajo barbacoa McCain bolsa 750 g,bolsa,3.59,4.79,KILO,250786,2025-04-08,Freidora de aire - Airfryer,Patatas Airfryer
Tortilla de patatas con cebolla La cocina de senen caja 600 g,caja,5.99,9.98,KILO,305263,2025-04-08,Freidora de aire - Airfryer,Patatas Airfryer
Mini empanadillas de atún Al Punto Dia bolsa 400 g,bolsa,1.57,3.93,KILO,1413,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Rabas empanadas Mari Marinera de Dia bolsa 400 g,bolsa,3.39,8.48,KILO,41098,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Croquetas de cocido horneables Al Punto Dia bolsa 350 g,bolsa,2.29,6.54,KILO,304800,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Caprichos del mar Mari Marinera de Dia bolsa 400 g,bolsa,1.99,4.98,KILO,41097,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Fingers de pollo Al Punto Dia bolsa 400 g,bolsa,3.19,7.98,KILO,275644,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Nuggets de pollo Al Punto Dia bolsa 400 g,bolsa,2.99,7.48,KILO,275642,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Solomillo de pollo empanado Selección de Dia bandeja 600 g aprox.,bandeja,5.25,8.75,KILO,266078,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Burger crunchy chicken 2 unidades Selección de Dia bandeja 240 g,unidad,1.99,8.29,KILO,288198,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Gyozas de pollo Vici bolsa 400 g,bolsa,3.99,9.98,KILO,279115,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Crunchy de pollo con salsa barbacoa Fripozo bolsa 300 g,bolsa,2.49,8.3,KILO,230004,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Filete de merluza empanada Mari Marinera de Dia bolsa 600 g,bolsa,4.95,8.25,KILO,293946,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
Tequeños de queso Al Punto Dia bolsa 240 g,bolsa,3.49,14.54,KILO,304376,2025-04-08,Freidora de aire - Airfryer,Rebozados Airfryer
