id,name,description,price,reference_price,reference_unit,subcategory_2_nivel_id,subcategory_2_nivel_name,category_id,category_name,subcategory_id,subcategory_name,price_corrected
4241.0,"Aceite de oliva 0,4º Hacendado",Garrafa 5.0 l,19.95,3.99,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4240.0,"Aceite de oliva 0,4º Hacendado",Botella 1.0 l,4.45,4.45,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4717.0,Aceite de oliva virgen extra Hacendado,Garrafa 3.0 l,15.85,5.284,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4740.0,Aceite de oliva virgen extra Hacendado,Botella 1.0 l,5.55,5.55,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4706.0,Aceite de oliva virgen extra Hacendado Gran Selección,Botella 0.75 l,6.55,8.734,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4641.0,Aceite de oliva 1º Hacendado,Garrafa 5.0 l,19.95,3.99,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4640.0,Aceite de oliva 1º Hacendado,Botella 1.0 l,4.45,4.45,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4711.0,Aceite de oliva virgen Hacendado,Garrafa 3.0 l,13.1,4.367,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4749.0,Aceite de oliva virgen Hacendado,Botella 1.0 l,4.75,4.75,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4718.0,Aceite de oliva virgen extra Hacendado,Spray 0.2 l,2.8,14.0,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4850.0,Aceite de oliva virgen extra Picual Casa Juncal,Botella 0.5 l,5.95,11.9,L,420,Aceite de oliva,12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4041.0,"Aceite de girasol refinado 0,2º Hacendado",Garrafa 5.0 l,8.7,1.74,L,421,"Aceite de girasol, semillas y maíz",12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4040.0,"Aceite de girasol refinado 0,2º Hacendado",Botella 1.0 l,1.79,1.79,L,421,"Aceite de girasol, semillas y maíz",12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
4193.0,Aceite de coco virgen Hacendado,Bote 0.45 l,4.55,10.112,L,421,"Aceite de girasol, semillas y maíz",12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal",False
